mode time Mu[1,1] Mu[1,2] Mu[2,1] Mu[2,2] Mu[3,1] Mu[3,2] rho[1] rho[2] PI[1,1,1] PI[1,1,2] PI[1,2,1] PI[1,2,2] PI[2,1,1] PI[2,1,2] PI[2,2,1] PI[2,2,2] PI[3,1,1] PI[3,1,2] PI[3,2,1] PI[3,2,2] alpha[1,1] alpha[1,2] alpha[2,1] alpha[2,2] alpha[3,1] alpha[3,2] lambda[1] lambda[2] lambda[3] theta[1] theta[2] loglikelihood
EM 0.815 0.642 0.2368 0.2072 0.1423 0.1507 0.6209 0.1074 0.1074 0 0.001114 0.001668 0 0 0.001944 0.001178 0 0 0.00192 0.001074 0 0.5995 0.4005 0.3773 0.6227 0.3588 0.6412 18.0986 21.1744 21.1215 0.005106 0.005106 -67090.219
EM 1.855 0.7079 0.1784 0.1917 0.1185 0.1005 0.7031 0.104 0.104 0 0.001335 0.002056 0 0 0.001977 0.001314 0 0 0.001927 0.001215 0 0.6063 0.3937 0.3993 0.6007 0.3867 0.6133 22.323 21.4629 20.9353 0.005119 0.005119 -66638.3809
EM 2.638 0.7519 0.1395 0.1786 0.1046 0.06946 0.7559 0.1032 0.1032 0 0.001525 0.002387 0 0 0.00216 0.001505 0 0 0.002137 0.001461 0 0.6102 0.3898 0.4105 0.5895 0.406 0.594 25.9306 23.4967 23.2212 0.00517 0.00517 -66415.4951
EM 3.411 0.7812 0.1141 0.1682 0.09673 0.05059 0.7892 0.1035 0.1035 0 0.001644 0.002587 0 0 0.00233 0.001669 0 0 0.002345 0.001677 0 0.6115 0.3885 0.4174 0.5826 0.417 0.583 28.1212 25.4044 25.5612 0.005207 0.005207 -66304.3804
EM 4.206 0.801 0.09715 0.1602 0.0926 0.03879 0.8102 0.104 0.104 0 0.001719 0.002713 0 0 0.002463 0.001795 0 0 0.002513 0.001841 0 0.6122 0.3878 0.4216 0.5784 0.4229 0.5771 29.491 26.9084 27.4704 0.00523 0.00523 -66247.4294
EM 4.988 0.8147 0.0856 0.1541 0.09067 0.03113 0.8237 0.1044 0.1044 0 0.001772 0.0028 0 0 0.002563 0.001888 0 0 0.002644 0.001965 0 0.6125 0.3875 0.4241 0.5759 0.4263 0.5737 30.4482 28.0346 28.9597 0.005243 0.005243 -66217.1057
EM 5.896 0.8245 0.07746 0.1495 0.09004 0.02595 0.8325 0.1048 0.1048 0 0.001813 0.002867 0 0 0.002637 0.001955 0 0 0.002746 0.002058 0 0.6126 0.3874 0.4257 0.5743 0.4284 0.5716 31.1712 28.8708 30.1151 0.00525 0.00525 -66200.2961
EM 6.854 0.8316 0.07157 0.146 0.09015 0.02234 0.8383 0.1051 0.1051 0 0.001846 0.002919 0 0 0.002693 0.002004 0 0 0.002826 0.00213 0 0.6126 0.3874 0.4267 0.5733 0.4298 0.5702 31.7387 29.4948 31.0149 0.005255 0.005255 -66190.6132
EM 7.657 0.8369 0.0672 0.1434 0.09065 0.01973 0.8421 0.1054 0.1054 0 0.001872 0.00296 0 0 0.002734 0.00204 0 0 0.002888 0.002185 0 0.6126 0.3874 0.4273 0.5727 0.4307 0.5693 32.1923 29.965 31.7193 0.005259 0.005259 -66184.8409
EM 8.453 0.8408 0.06388 0.1414 0.09135 0.01781 0.8448 0.1055 0.1055 0 0.001894 0.002994 0 0 0.002766 0.002067 0 0 0.002937 0.002227 0 0.6125 0.3875 0.4277 0.5723 0.4312 0.5688 32.558 30.3233 32.2738 0.005261 0.005261 -66181.2978
